,beta,alpha_annualised,r_squared
100016,-0.025909405765861097,0.03622082583927385,0.0005251371285968871
100025,-0.0161756408512603,0.043189313078713834,0.0028405259230331616
100033,-0.011199710059456157,0.2723430403957973,5.7913113987699385e-05
101206,0.03381398454659161,0.2139447485061358,0.0008919748244255924
101207,-0.0598558458646006,0.10820454812152297,0.0008913255212776544
101208,0.0013273169546884336,0.06084211292226629,0.0011372885066654283
102885,-0.001884187405463707,0.16992711557794749,3.567128117836107e-06
102886,-0.06147606747188305,0.028949366251249286,0.0019026976610313695
102887,0.04011620562000174,0.16179316452470288,0.0010729753227565035
118632,0.0364342177314729,0.21728068775563278,0.001097942563225179
118633,0.013157652619096521,0.15503795076034138,0.00014630059838860443
118634,0.009128170084160643,0.1780020912356628,2.1652540535309433e-05
118635,-0.013806609371555983,0.15160602363545675,0.00018723446118827953
118636,-0.008492388448091663,0.05096267106480351,0.0007517236479419266
119092,-0.019608739866468203,0.0697017081135713,0.0003271012706382065
119093,-0.008427720099019355,0.08329931222337687,6.014140689379951e-05
119094,-0.059868150583866575,0.25997054053321056,0.0015755858459957745
119095,0.013291723470735522,0.045680128064692294,4.655269963997599e-05
119120,0.01199067259412252,0.055762723198290544,0.0015125909089770038
119551,-0.05604508562674623,0.23219648016717326,0.0027541234668856736
119552,-0.01985302504967574,0.1982932218749148,0.0003358456218928238
119598,0.0742664848380288,0.3011144193310002,0.0014447997312701246
119599,0.007680982959652939,0.050572431452751046,1.569136051566456e-05
120503,-0.004111147836045653,0.17587937785242744,1.4515836272022318e-05
120504,0.017025361766949264,0.2120943009940057,0.0002326095961327432
120505,-0.017391171743071688,0.29301371282563315,0.00013456215601103733
120506,0.04770801520256513,0.16283731486753183,0.0016245231145695653
120507,-0.0011254611770458527,0.06747180157927476,0.0008596728948655994
120841,0.04167578236653612,0.13068278268538389,0.001586371662998414
120842,0.0006475555544426223,0.0785865149291694,2.1680882047852433e-07
120843,-0.008737359353900992,0.2727835993505962,5.0078325050399e-05
120844,-7.563158272733993e-05,0.06454601487990588,3.594243149279238e-06
125497,-0.005459316559048836,0.1789129568352085,2.293273651757328e-05
125498,-0.01851286878959151,0.12055386350487392,0.00016847394392971175
148567,-0.028133312231657468,0.2711501636821103,0.0006504628966354225
148568,5.1161967409606524e-05,0.2079171509667248,1.8204687804701851e-09
148569,-0.010201365088271724,0.28347336470728673,5.515933274634076e-05
149322,0.014848756863667932,0.13129906992674878,0.0001771802231352034
149323,0.0034785300797906637,0.26583594480787764,6.361436895535432e-06
149324,0.13260808824054157,0.2981786893056835,0.004718480122355883
